grain,size
52959,1
52960,1018
52970,27
52974,3
52975,3
52978,28
52981,750
52983,19
52984,20
52988,1
52990,4
52991,12
52992,1
52993,1
52995,589
52999,10
53001,36
53006,8094
53007,79
53008,1
53012,6
53014,1
53015,14
53016,448
53022,1670
53023,81
53027,1401
53031,4
53034,3
53037,32
53040,147
53041,428
53043,4
53048,93
53052,6
53054,8
53056,22
53058,61
53059,195
53063,2
53067,1499
53072,80
53074,338
53075,2915
53080,3
53081,1
53082,41
53083,349
53085,206
53088,318
53091,139
53092,699
53096,197
53098,29
53099,2
53103,42
53104,524
53107,26
53108,2134
53109,54
53112,3
53120,39
53121,976
53122,2
53124,17
53125,844
53126,378
53130,907
53131,6
53132,922
53135,142
53136,42
53139,2
53141,15
53142,491
53145,23
53146,543
53147,2
53148,2
53150,7
53153,2256
53156,13
53157,501
53164,111
53168,3
53173,141
53174,4
53183,53
53184,14
53186,16
53187,1066
53189,292
53195,2
53196,73
53197,3
53201,124
53204,5
53208,1
53209,298
53211,2
53212,10
53213,2
53215,633
53216,1136
53217,454
53219,29
53222,2
53224,849
53227,8
53230,41
53233,4
53235,2
53236,4
53237,882
53238,10
53241,1
53243,1
53246,2
53251,1
53255,101
53262,73
53263,593
53268,10
53270,1
53271,22
53273,463
53275,19
53280,557
53281,4
53282,383
53283,623
53285,2526
53286,14
53290,1
53292,6
53295,766
53298,23
53300,2
53302,38
53303,314
53308,3
53309,3969
53311,406
53314,17
53315,3852
53316,31
53317,4
53326,223
53327,215
53329,7
53330,2
53333,241
53334,2
53337,11
53339,1
53341,114
53343,1
53344,1260
53345,139
53346,10
53347,9
53351,151
53352,23
53355,553
53363,514
53364,53
53366,6403
53368,1
53371,1
53372,95
53374,39
53384,290
53385,5
53387,5
53390,2585
53393,8
53397,290
53401,2
53406,455
53407,2
53409,95
53411,107
53412,1261
53416,13
53419,2
53420,3
53422,846
53424,23
53425,1
53426,2
53427,72
53428,7
53429,10
53433,3
53435,11
53437,69
53438,82
53439,1977
53443,130
53444,10
53449,1
53451,4
53452,46
53454,16
53457,1663
53458,14
53460,6
53462,439
53465,1048
53466,1
53467,101
53472,899
53473,68
53476,43
53477,12
53479,29
53483,1
53484,6142
53485,216
53486,1350
53489,2
53491,3
53493,4
53494,6
53495,30
53497,38
53498,1
53500,1
53501,613
53507,8
53510,10
53511,86
53518,1
53519,68
53526,3
53529,61
53531,2
53533,2
53534,217
53535,38
53536,29
53538,23
53539,1
53542,504
53543,3
53547,166
53551,61
53552,1
53554,1
53555,1
53556,4
53557,1
53558,14
53559,328
53560,110
53564,60
53566,19
53567,1506
53576,4
53577,2280
53585,10
53588,7721
53590,1
53591,72
53592,2
53595,42
53598,716
53602,85
53603,2
53604,4
53605,1
53609,41
53610,65
53613,4
53615,8
53616,3
53617,1
53618,889
53621,64
53622,18
53623,6
53625,3
53628,4
53629,308
53630,2
53631,35
53638,48
53639,3
53641,2132
53643,1
53648,44
53649,6
53650,1397
53651,491
53654,19
53660,5
53661,6
53664,1
53665,388
53670,15
53676,4
53678,33
53680,167
53682,533
53683,2
53688,2568
53692,993
53700,77
53701,527
53702,5236
53703,2
53704,9
53705,61
53707,11
53710,2
53711,4432
53713,2
53717,169
53718,68
53719,5
53722,277
53724,289
53725,3236
53727,4739
53728,1439
53736,2
53737,9
53739,84
53743,5
53746,2
53750,2
53759,25
53766,7
53767,94
53771,1
53774,999
53777,9
53778,17
53784,33
53785,24
53796,4
53798,1686
53799,526
53802,15
53803,571
53804,1
53805,61
53806,79
53808,11
53809,98
53814,35
53815,35
53816,8
53817,7
53818,148
53823,21
53827,3
53828,6
53830,287
53831,24
53832,104
53834,1
53836,1
53840,357
53841,152
53843,1
53844,193
53845,1
53846,48
53847,1
53848,1
53849,21
53850,31
53851,257
53853,18
53855,77
53858,2201
53859,69
53860,66
53862,113
53865,516
53866,2482
53869,79
53870,21
53871,66
53873,92
53874,2
53878,622
53879,325
53882,81
53885,2657
53886,63
53892,6
53893,159
53894,9
53895,26
53897,112
53899,65
53900,2633
53901,261
53903,143
53905,261
53908,801
53909,317
53910,517
53915,13
53918,995
53920,19
53922,2
53932,1
53933,12
53934,3
53935,196
53938,1
53942,7
53943,589
53944,169
53946,15
53947,3
53948,4
53950,14
53953,2
53954,86
53955,3
53956,163
53957,3
53958,1
53962,73
53963,3
53965,433
53970,1819
53972,9
53975,291
53978,3849
53982,16
53984,15
53986,1
53987,16
53989,876
53990,1
53992,1
53994,17
54005,3
54006,8
54008,10
54019,2
54020,1
54021,2
54024,1
54025,6
54027,1
54028,547
54029,27
54031,4520
54040,1
54048,1545
54049,16
54050,8
54055,9
54056,3046
54059,1003
54060,1166
54061,3
54062,1
54063,1167
54064,7
54067,21
54070,21
54072,6
54073,28
54077,11
54078,3
54080,32
54083,321
54085,8
54091,1023
54092,4
54093,1
54094,1
54095,8
54096,109
54099,157
54100,433
54103,2
54108,2
54109,51
54113,4
54114,12
54117,69
54118,297
54120,2
54122,3305
54123,4626
54124,1
54126,4
54134,12
54135,19
54136,652
54138,587
54141,27
54148,303
54150,8
54153,11
54157,2
54159,6
54161,1
54163,137
54169,647
54170,7
54171,1
54173,37
54174,13
54175,212
54181,3
54184,7
54188,9
54190,1
54192,47
54198,14
54200,1106
54202,3
54203,1
54204,2
54205,2087
54208,656
54212,963
54214,1
54215,7
54216,3
54217,1937
54219,8
54221,212
54222,3
54225,699
54226,9
54227,6
54234,1998
54238,190
54239,1
54242,20
54243,23
54246,58
54252,4
54253,2524
54257,1
54258,576
54259,51
54261,913
54262,13
54263,193
54265,1
54271,2
54272,251
54274,15
54286,17
54288,2
54289,33
54290,828
54292,14
54295,8
54296,94
54298,1
54299,589
54300,2
54303,7
54306,5
54308,2
54313,45
54314,116
54316,53
54320,39
54321,109
54322,8
54331,5
54333,7
54334,363
54335,29
54336,926
54338,33
54341,7
54343,6
54344,1
54348,4
54349,38
54350,4
54351,888
54354,5
54355,6282
54358,87
54360,95
54361,11
54362,1012
54366,31
54370,1
54372,1500
54375,11
54377,2470
54379,607
54384,1394
54386,1
54388,20
54391,14
54394,5
54395,1953
54396,1
54397,20
54398,17
54402,24
54406,1742
54408,410
54409,41
54410,153
54411,862
54412,3
54414,4
54417,3
54418,71
54419,2
54422,2
54423,13
54424,5
54425,55
54427,19
54430,154
54431,3826
54432,64
54437,10
54439,5
54440,1
54445,64
54446,15
54449,281
54450,231
54456,12
54457,110
54460,64
54461,190
54464,2659
54467,9
54471,2
54473,21
54478,1
54484,158
54488,587
54492,479
54493,24
54495,8
54498,4
54500,11
54501,519
54504,973
54505,1244
54510,16
54511,6
54515,16
54517,1
54518,371
54519,10
54523,3690
54525,16
54527,43
54530,788
54537,9
54539,452
54540,1
54542,115
54543,1
54544,1404
54545,5
54546,6
54552,93
54553,45
54554,4145
54555,486
54557,6
54559,37
54562,2
54566,1
54567,1
54568,112
54569,1
54571,26
54573,1
54576,8
54577,106
54579,404
54580,1841
54585,7
54588,28
54591,1342
54602,118
54603,3
54606,1
54607,90
54609,21
54610,5609
54611,68
54616,1
54617,1
54619,1
54620,77
54624,1176
54625,342
54626,32
54632,1031
54633,20
54636,4
54637,1
54639,88
54642,3
54643,1425
54644,13
54646,115
54653,11
54654,1
54656,2
54663,1
54666,550
54669,1148
54670,5654
54672,131
54677,1
54678,31
54682,17
54684,1081
54685,1
54686,2
54687,3337
54688,207
54689,24
54693,1
54694,477
54698,4
54703,27
54705,16
54706,1137
54708,1
54709,128
54711,11
54713,304
54715,53
54718,2
54719,31
54727,1
54729,425
54732,39
54735,116
54740,157
54746,171
54749,7
54750,6
54751,60
54752,1
54754,4
54755,4
54756,6
54757,23
54764,1775
54765,2
54767,2
54771,612
54773,208
54777,86
54779,2
54781,1587
54783,20
54785,1
54786,1
54787,4
54791,5
54795,853
54796,94
54798,212
54800,973
54804,1919
54806,8
54807,440
54808,10
54809,3
54812,1153
54817,1
54820,170
54822,10
54823,1306
54824,8
54825,27
54826,24
54827,10
54832,877
54836,22
54837,53
54842,1
54843,7
54845,699
54846,354
54855,902
54856,11
54857,43
54858,5
54864,23
54866,525
54868,1
54870,1
54871,26
54873,1
54876,5
54878,297
54880,42
54883,423
54884,223
54885,2
54888,3289
54889,7
54890,5
54891,42
54894,219
54897,1053
54898,32
54899,56
54901,3
54903,3
54905,32
54906,1119
54907,2
54908,35
54912,715
54914,2
54915,38
54916,1
54918,8
54919,12
54920,192
54921,551
54924,419
54926,134
54927,3
54933,1074
54935,62
54943,107
54945,60
54946,91
54948,1304
54952,41
54958,17
54962,12
54965,1040
54968,3
54971,3
54975,2
54976,74
54980,1
54982,4
54984,2
54987,2826
54988,2
54989,4
54990,1612
54992,26
54995,888
54998,28
55001,17
55003,1
55004,44
55006,22
55017,45
55018,1370
55019,1
55020,1746
55023,5053
55027,30
55028,18
55029,789
55030,2326
55033,1
55035,159
55039,4
55041,10
55044,12
55045,290
55046,2
55048,25
55050,10
55054,94
55058,876
55059,7
55060,4
55062,1
55065,15
55066,94
55068,1
55071,8
55074,65
55075,12
55076,8
55078,13
55079,7
55092,15
55093,530
55094,1
55097,1
55099,162
55100,47
55101,51
55102,5436
55103,9
55106,492
55107,1
55111,131
55113,26
55114,14
55116,65
55117,703
55118,3
55121,345
55123,159
55125,2
55130,1
55131,14
55134,104
55135,635
55139,58
55141,71
55142,6218
55144,72
55148,978
55149,471
55151,6
55154,1
55155,6
55158,330
55159,1
55163,134
55164,1
55165,7
55166,944
55168,31
55169,734
55175,2
55178,2409
55179,96
55181,341
55182,29
55184,872
55187,13
55192,1
55195,1927
55196,8
55197,832
55198,1715
55201,405
55202,13
55205,58
55206,2
55208,3
55210,137
55211,1
55213,77
55222,1130
55223,22
55228,41
55230,24
55231,1535
55234,3
55237,1
55238,333
55240,768
55243,1
55244,2384
55245,29
55246,4
55248,20
55253,4
55259,127
55261,7
55262,1
55263,1
55264,9
55266,7
55269,59
55270,1467
55271,3
55277,1
55278,2
55283,7
55284,4
55286,30
55289,8
55290,99
55295,3
55297,5
55298,73
55300,4
55301,12
55309,55
55310,3
55311,916
55314,5
55317,199
55318,2
55319,5
55321,31
55324,216
55326,2
55330,2
55331,558
55332,1
55333,1
55335,42
55338,1
55342,17
55344,743
55347,1
55348,85
55354,2910
55357,165
55358,5
55360,7
55362,3
55365,74
55367,109
55372,53
55373,16
55374,1009
55375,7
55376,38
55380,139
55387,7
55390,4
55392,39
55395,5546
55396,1
55397,30
55400,6
55401,1
55403,11
55406,2391
55408,58
55410,178
55412,49
55414,16
55416,27
55417,6088
55418,15
55419,2
55421,1
55424,1968
55426,333
55427,1
55434,1
55439,1
55440,300
55444,3
55445,23
55450,1782
55453,2
55454,20
55459,87
55460,39
55463,98
55464,2
55466,813
55469,1
55474,125
55475,11
55476,972
55478,3
55479,36
55480,195
55483,131
55484,6
55487,36
55488,54
55489,119
55490,338
55493,5
55496,10
55502,2
55503,1
55507,1
55509,1
55510,324
55512,44
55513,7273
55522,234
55524,1661
55528,1
55529,198
55534,1394
55539,839
55540,7
55543,211
55546,394
55551,443
55558,33
55561,18
55562,100
55563,812
55566,1308
55567,1075
55569,45
55570,4
55573,18
55577,2638
55581,1263
55587,78
55588,144
55589,2235
55590,1
55591,18
55595,100
55596,49
55598,337
55599,1
55600,459
55603,1
55605,32
55607,35
55609,9
55610,16
55612,216
55614,10
55615,1392
55616,5
55617,218
55618,169
55622,40
55628,731
55631,7
55632,2
55633,211
55635,51
55638,712
55639,31
55644,3
55646,47
55648,216
55651,5
55652,19
55653,833
55654,16
55655,270
55656,993
