grain,size,duration,unique_sites,max_radius
51423,891,111,891,55
51424,1,1,1,0
51426,50,12,39,9
51427,2366,194,1678,52
51428,17,10,17,7
51430,274,33,274,21
51431,4,3,4,2
51432,8,7,8,6
51433,20,10,20,5
51436,40,16,40,12
51438,2,2,2,1
51441,79,27,79,21
51442,104,28,92,13
51443,3,2,3,1
51444,17,9,16,5
51445,2,2,2,1
51446,2732,216,1819,73
51451,81,15,65,12
51452,33,15,33,10
51453,265,47,265,26
51455,2,2,2,1
51456,200,48,200,27
51457,1,1,1,0
51459,194,42,153,19
51460,5,5,5,4
51461,2410,244,2226,86
51464,1,1,1,0
51466,1,1,1,0
51467,13,8,13,5
51471,3,3,3,2
51475,14,9,14,6
51477,19,8,19,5
51479,207,38,160,18
51481,3,3,3,2
51482,30,11,27,6
51486,12,7,12,4
51487,201,28,192,21
51490,29,20,29,9
51492,218,38,218,22
51493,2,2,2,1
51494,232,39,147,15
51497,1,1,1,0
51499,559,63,377,28
51500,1473,143,1021,43
51504,2,2,2,1
51508,8,4,8,3
51509,200,38,200,21
51512,2,2,2,1
51514,2,2,2,1
51516,3,3,3,2
51517,95,21,95,17
51520,2,2,2,1
51521,5,3,5,2
51524,5,3,5,2
51529,1,1,1,0
51530,331,53,250,18
51531,9,5,9,4
51533,12,5,11,3
51534,1,1,1,0
51538,6,4,6,3
51542,1,1,1,0
51543,314,55,270,28
51545,498,107,495,54
51548,45,12,45,8
51551,58,17,58,12
51552,1,1,1,0
51554,323,58,282,24
51555,1369,127,1369,59
51560,4,4,4,2
51562,27,15,27,14
51564,1,1,1,0
51566,117,27,81,13
51569,4521,231,1994,55
51570,2,2,2,1
51571,4,4,4,3
51572,30,15,30,10
51574,1,1,1,0
51581,2,2,2,1
51583,243,52,165,15
51584,2,2,2,1
51590,246,45,226,26
51591,1,1,1,0
51594,1,1,1,0
51595,41,14,34,7
51600,30,13,30,8
51601,1837,189,1821,73
51603,1,1,1,0
51611,23,12,23,8
51613,3719,244,1960,61
51614,19,11,19,4
51615,177,36,142,17
51618,414,61,413,38
51620,2,2,2,1
51622,384,70,256,17
51623,80,32,73,9
51624,3,3,3,2
51626,3,3,3,2
51630,967,72,703,32
51631,23,11,23,8
51633,1,1,1,0
51638,1282,121,1281,70
51644,10,4,10,3
51650,111,37,107,19
51653,8,5,8,4
51657,136,31,99,15
51658,3,3,3,2
51659,128,36,128,19
51661,412,103,412,46
51662,7,5,7,4
51663,148,29,148,15
51664,178,55,137,20
51665,486,122,486,52
51667,1309,163,784,41
51668,1173,203,1173,70
51672,4,2,4,1
51673,2,2,2,1
51676,97,24,97,14
51678,23,13,23,8
51680,56,29,56,21
51682,2,2,2,1
51683,1,1,1,0
51684,3,3,3,2
51685,12,9,12,6
51686,33,11,33,7
51687,23,11,23,8
51691,33,16,28,5
51694,245,44,243,23
51695,6,5,6,4
51700,31,11,31,9
51702,5,4,5,3
51704,9,8,9,4
51709,908,124,907,55
51710,2,2,2,1
51711,607,100,597,43
51712,2,2,2,1
51713,12,7,12,4
51714,3,2,3,1
51716,73,18,59,10
51718,653,107,507,27
51721,335,53,253,20
51722,5,4,5,2
51723,5,3,5,2
51724,12,8,12,4
51726,1,1,1,0
51728,1,1,1,0
51729,379,59,378,27
51732,100,28,98,16
51739,656,102,656,38
51743,2555,175,1956,66
51746,79,17,79,12
51748,36,16,36,13
51753,5073,273,2864,78
51754,2,2,2,1
51757,3018,191,1821,72
51761,2520,140,1694,58
51763,947,164,811,52
51764,9,4,9,3
51765,646,69,640,35
51767,73,34,73,17
51769,6,5,6,3
51771,1,1,1,0
51772,11,8,11,7
51773,4,3,4,2
51775,158,39,132,20
51778,31,15,31,9
51782,7,5,7,4
51783,164,34,164,22
51785,2316,258,1602,71
51786,400,89,400,28
51787,158,44,158,18
51789,2,2,2,1
51793,7,5,7,3
51796,703,118,703,59
51798,59,15,49,8
51800,109,28,109,17
51801,73,17,66,10
51803,1,1,1,0
51805,702,97,572,35
51807,49,18,49,10
51809,180,44,157,18
51810,1,1,1,0
51811,4,3,4,2
51812,1,1,1,0
51818,170,39,165,21
51819,17,7,16,4
51821,14,6,14,5
51823,10,7,10,5
51824,2,2,2,1
51827,1,1,1,0
51828,1,1,1,0
51832,3,3,3,2
51833,2,2,2,1
51834,13,5,13,3
51835,31,27,31,9
51836,11,6,11,4
51837,167,59,166,22
51839,449,99,449,44
51840,120,45,109,17
